character,name,unicode,css_escape,category
β,greek_lower_beta,U+03B2,\3B2,Greek alphabet
∑,sum,U+2211,\2211,Calculus and large operators
σ,greek_lower_sigma,U+03C3,\3C3,Greek alphabet
a,latin_lower_a,U+0061,\61,Latin letters and numbers
b,latin_lower_b,U+0062,\62,Latin letters and numbers
c,latin_lower_c,U+0063,\63,Latin letters and numbers
d,latin_lower_d,U+0064,\64,Latin letters and numbers
e,latin_lower_e,U+0065,\65,Latin letters and numbers
f,latin_lower_f,U+0066,\66,Latin letters and numbers
g,latin_lower_g,U+0067,\67,Latin letters and numbers
h,latin_lower_h,U+0068,\68,Latin letters and numbers
i,latin_lower_i,U+0069,\69,Latin letters and numbers
j,latin_lower_j,U+006A,\6A,Latin letters and numbers
k,latin_lower_k,U+006B,\6B,Latin letters and numbers
l,latin_lower_l,U+006C,\6C,Latin letters and numbers
m,latin_lower_m,U+006D,\6D,Latin letters and numbers
n,latin_lower_n,U+006E,\6E,Latin letters and numbers
o,latin_lower_o,U+006F,\6F,Latin letters and numbers
p,latin_lower_p,U+0070,\70,Latin letters and numbers
q,latin_lower_q,U+0071,\71,Latin letters and numbers
r,latin_lower_r,U+0072,\72,Latin letters and numbers
s,latin_lower_s,U+0073,\73,Latin letters and numbers
u,latin_lower_u,U+0075,\75,Latin letters and numbers
v,latin_lower_v,U+0076,\76,Latin letters and numbers
w,latin_lower_w,U+0077,\77,Latin letters and numbers
x,latin_lower_x,U+0078,\78,Latin letters and numbers
y,latin_lower_y,U+0079,\79,Latin letters and numbers
z,latin_lower_z,U+007A,\7A,Latin letters and numbers
Σ,greek_upper_Sigma,U+03A3,\3A3,Greek alphabet
γ,greek_lower_gamma,U+03B3,\3B3,Greek alphabet
Γ,greek_upper_Gamma,U+0393,\393,Greek alphabet
δ,greek_lower_delta,U+03B4,\3B4,Greek alphabet
Δ,greek_upper_Delta,U+0394,\394,Greek alphabet
ζ,greek_lower_zeta,U+03B6,\3B6,Greek alphabet
η,greek_lower_eta,U+03B7,\3B7,Greek alphabet
θ,greek_lower_theta,U+03B8,\3B8,Greek alphabet
Θ,greek_upper_Theta,U+0398,\398,Greek alphabet
ε,greek_lower_epsilon,U+03B5,\3B5,Greek alphabet
ϵ,greek_lower_varepsilon,U+03F5,\3F5,Greek alphabet
ι,greek_lower_iota,U+03B9,\3B9,Greek alphabet
κ,greek_lower_kappa,U+03BA,\3BA,Greek alphabet
ϰ,greek_lower_varkappa,U+03F0,\3F0,Greek alphabet
λ,greek_lower_lambda,U+03BB,\3BB,Greek alphabet
Λ,greek_upper_Lambda,U+039B,\39B,Greek alphabet
μ,greek_lower_mu,U+03BC,\3BC,Greek alphabet
ν,greek_lower_nu,U+03BD,\3BD,Greek alphabet
ξ,greek_lower_xi,U+03BE,\3BE,Greek alphabet
Ξ,greek_upper_Xi,U+039E,\39E,Greek alphabet
Π,greek_upper_Pi,U+03A0,\3A0,Greek alphabet
ρ,greek_lower_rho,U+03C1,\3C1,Greek alphabet
ϱ,greek_lower_varrho,U+03F1,\3F1,Greek alphabet
τ,greek_lower_tau,U+03C4,\3C4,Greek alphabet
φ,greek_lower_phi,U+03C6,\3C6,Greek alphabet
Φ,greek_upper_Phi,U+03A6,\3A6,Greek alphabet
ϕ,greek_lower_varphi,U+03D5,\3D5,Greek alphabet
χ,greek_lower_chi,U+03C7,\3C7,Greek alphabet
ψ,greek_lower_psi,U+03C8,\3C8,Greek alphabet
Ψ,greek_upper_Psi,U+03A8,\3A8,Greek alphabet
ω,greek_lower_omega,U+03C9,\3C9,Greek alphabet
Ω,greek_upper_Omega,U+03A9,\3A9,Greek alphabet
∂,partial,U+2202,\2202,Calculus and large operators
∫,int,U+222B,\222B,Calculus and large operators
ċ,cdot,U+010B,\10B,Basic operators
≤,leq,U+2264,\2264,Relations and comparison symbols
≥,geq,U+2265,\2265,Relations and comparison symbols
<,less_than,U+003C,\3C,Relations and comparison symbols
>,greater_than,U+003E,\3E,Relations and comparison symbols
⊂,subset,U+2282,\2282,Set theory and logic
⊃,supset,U+2283,\2283,Set theory and logic
⊆,subseteq,U+2286,\2286,Set theory and logic
⊇,supseteq,U+2287,\2287,Set theory and logic
≅,cong,U+2245,\2245,Relations and comparison symbols
∝,propto,U+221D,\221D,Relations and comparison symbols
-,minus,U+002D,\2D,Basic operators
+,plus,U+002B,\2B,Basic operators
ℝ,mathbb_R,U+211D,\211D,Styled alphabets
$,dollar,U+0024,\24,"Currency, legal, and text symbols"
{,left_brace,U+007B,\7B,Brackets and delimiters
